unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,Y45-49,M,PL	4 	5 	3 	5 	33 	58 	81 
NR,ED5,Y45-49,M,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y45-49,M,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,M,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,M,SE	21 	26 	30 	35 	38 	44 	49 
NR,ED5,Y45-49,M,SI	102 	105 	161 	157 	135 	127 	155 
NR,ED5,Y45-49,M,SK	13 	17 	17 	17 	17 	16 	17 
NR,ED5,Y45-49,M,TR	1451 	1396 	1369 	1362 	: 	1221 	1145 
NR,ED5,Y45-49,M,UK	: d	: d	: d	: d	: d	1382 	1111 
NR,ED5,Y45-49,T,AT	1477 	1531 	1584 	1618 	1664 	1573 	1474 
NR,ED5,Y45-49,T,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y45-49,T,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y45-49,T,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y45-49,T,CY	59 	63 	47 	35 	62 	41 	45 
NR,ED5,Y45-49,T,CZ	: d	: d	: d	12 	12 	10 	10 
NR,ED5,Y45-49,T,DE	415 be	6 e	6 e	7 	5 	6 	8 
NR,ED5,Y45-49,T,DK	278 	260 b	: d	: 	292 	287 	: 
NR,ED5,Y45-49,T,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y45-49,T,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,ES	6696 	6563 	6407 	6347 	6242 	6178 	5586 
NR,ED5,Y45-49,T,EU27_2020	: 	: 	: 	: 	12350 d	12015 d	: 
NR,ED5,Y45-49,T,EU28	: 	: 	: 	: 	: 	15150 d	: 
NR,ED5,Y45-49,T,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,FR	4359 	4226 	4239 	4164 	3775 	3682 	3569 
NR,ED5,Y45-49,T,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y45-49,T,HU	: d	: d	: d	119 	99 	171 	271 
NR,ED5,Y45-49,T,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y45-49,T,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y45-49,T,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,LU	11 	12 	11 	: d	8 	11 	: 
NR,ED5,Y45-49,T,LV	145 	136 	146 	111 	123 	122 	117 
NR,ED5,Y45-49,T,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y45-49,T,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,MT	28 	23 	15 	25 	31 	21 	31 
NR,ED5,Y45-49,T,NL	194 	178 	158 	132 	116 	: d	: d
NR,ED5,Y45-49,T,NO	148 	111 	109 	103 	98 	: d	: 
NR,ED5,Y45-49,T,PL	16 	15 	11 	20 	121 	201 	284 
NR,ED5,Y45-49,T,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y45-49,T,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y45-49,T,SE	40 	48 	55 	62 	68 	78 	85 
NR,ED5,Y45-49,T,SI	228 	233 	322 	318 	288 	282 	320 
NR,ED5,Y45-49,T,SK	40 	46 	48 	46 	46 	52 	54 
NR,ED5,Y45-49,T,TR	2321 	2196 	2109 	2017 	: 	1735 	1643 
NR,ED5,Y45-49,T,UK	: d	: d	: d	: d	: d	3135 	2211 
NR,ED5,Y50-54,F,AT	857 	881 	930 	955 	954 	926 	880 
NR,ED5,Y50-54,F,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y50-54,F,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y50-54,F,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,F,CY	13 	11 	13 	10 	9 	9 	15 
NR,ED5,Y50-54,F,CZ	: d	: d	: d	11 	11 	7 	10 
NR,ED5,Y50-54,F,DE	133 be	3 e	2 e	2 	1 	1 	3 
NR,ED5,Y50-54,F,DK	138 	139 b	: d	: 	111 	108 	: 
NR,ED5,Y50-54,F,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,F,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,ES	3395 	3331 	3226 	3071 	2836 	2525 	2061 
NR,ED5,Y50-54,F,EU27_2020	: 	: 	: 	: 	5076 d	5149 d	: 
NR,ED5,Y50-54,F,EU28	: 	: 	: 	: 	: 	6803 d	: 
NR,ED5,Y50-54,F,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,FR	2002 	1786 	1700 	1620 	1380 	1324 	1300 
NR,ED5,Y50-54,F,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y50-54,F,HU	: d	: d	: d	40 	31 	73 	127 
NR,ED5,Y50-54,F,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y50-54,F,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y50-54,F,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,LU	6 	7 	6 	: d	4 	4 	: 
NR,ED5,Y50-54,F,LV	67 	85 	102 	80 	89 	88 	71 
NR,ED5,Y50-54,F,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y50-54,F,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,MT	11 	9 	6 	5 	8 	8 	9 
NR,ED5,Y50-54,F,NL	95 	75 	69 	59 	51 	: d	: d
NR,ED5,Y50-54,F,NO	48 	53 	50 	49 	47 	: d	: 
NR,ED5,Y50-54,F,PL	5 	8 	8 	9 	71 	104 	160 
NR,ED5,Y50-54,F,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y50-54,F,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,F,SE	17 	21 	24 	27 	28 	31 	33 
NR,ED5,Y50-54,F,SI	198 	161 	164 	146 	144 	140 	129 
NR,ED5,Y50-54,F,SK	37 	40 	42 	40 	41 	46 	45 
NR,ED5,Y50-54,F,TR	471 	433 	400 	336 	: 	259 	254 
NR,ED5,Y50-54,F,UK	: d	: d	: d	: d	: d	1654 	1014 
NR,ED5,Y50-54,M,AT	856 	880 	874 	863 	852 	795 	694 
NR,ED5,Y50-54,M,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y50-54,M,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y50-54,M,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,M,CY	27 	21 	29 	23 	24 	16 	19 
NR,ED5,Y50-54,M,CZ	: d	: d	: d	5 	6 	5 	2 
NR,ED5,Y50-54,M,DE	284 be	4 e	3 e	3 	3 	3 	3 
NR,ED5,Y50-54,M,DK	188 	190 b	: d	: 	171 	171 	: 
NR,ED5,Y50-54,M,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,M,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,ES	3404 	3305 	3206 	3194 	3088 	2943 	2703 
NR,ED5,Y50-54,M,EU27_2020	: 	: 	: 	: 	6276 d	5773 d	: 
NR,ED5,Y50-54,M,EU28	: 	: 	: 	: 	: 	7129 d	: 
NR,ED5,Y50-54,M,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,FR	1783 	1740 	1706 	1621 	1536 	1545 	1585 
NR,ED5,Y50-54,M,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y50-54,M,HU	: d	: d	: d	58 	50 	80 	128 
NR,ED5,Y50-54,M,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y50-54,M,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y50-54,M,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,LU	6 	6 	6 	: d	5 	6 	: 
NR,ED5,Y50-54,M,LV	41 	20 	38 	33 	52 	33 	46 
NR,ED5,Y50-54,M,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y50-54,M,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,MT	19 	20 	13 	18 	25 	22 	20 
NR,ED5,Y50-54,M,NL	97 	100 	94 	82 	77 	: d	: d
NR,ED5,Y50-54,M,NO	84 	44 	43 	43 	40 	: d	: d
NR,ED5,Y50-54,M,PL	5 	3 	3 	4 	18 	45 	73 
NR,ED5,Y50-54,M,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y50-54,M,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,M,SE	21 	27 	29 	33 	35 	39 	42 
NR,ED5,Y50-54,M,SI	179 	149 	164 	164 	139 	147 	145 
NR,ED5,Y50-54,M,SK	17 	24 	24 	21 	20 	24 	22 
NR,ED5,Y50-54,M,TR	1075 	1015 	971 	937 	: 	726 	702 
NR,ED5,Y50-54,M,UK	: d	: d	: d	: d	: d	1356 	1065 
NR,ED5,Y50-54,T,AT	1712 	1761 	1804 	1818 	1806 	1721 	1573 
NR,ED5,Y50-54,T,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y50-54,T,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y50-54,T,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,T,CY	40 	32 	42 	33 	33 	25 	34 
NR,ED5,Y50-54,T,CZ	: d	: d	: d	16 	17 	12 	12 
NR,ED5,Y50-54,T,DE	416 be	6 e	5 e	6 	3 	4 	7 
NR,ED5,Y50-54,T,DK	326 	329 b	: d	: 	282 	279 	: 
NR,ED5,Y50-54,T,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y50-54,T,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,ES	6799 	6636 	6432 	6265 	5924 	5468 	4764 
NR,ED5,Y50-54,T,EU27_2020	: 	: 	: 	: 	11351 d	10922 d	: 
NR,ED5,Y50-54,T,EU28	: 	: 	: 	: 	: 	13932 d	: 
NR,ED5,Y50-54,T,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,FR	3785 	3526 	3406 	3241 	2916 	2869 	2885 
NR,ED5,Y50-54,T,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y50-54,T,HU	: d	: d	: d	98 	81 	153 	255 
NR,ED5,Y50-54,T,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y50-54,T,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y50-54,T,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,LU	12 	13 	12 	: d	8 	10 	: 
NR,ED5,Y50-54,T,LV	108 	105 	140 	113 	141 	121 	117 
NR,ED5,Y50-54,T,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y50-54,T,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,MT	30 	29 	19 	23 	33 	30 	29 
NR,ED5,Y50-54,T,NL	192 	175 	163 	141 	128 	: d	: d
NR,ED5,Y50-54,T,NO	132 	97 	93 	91 	87 	: d	: d
NR,ED5,Y50-54,T,PL	10 	11 	11 	13 	89 	149 	233 
NR,ED5,Y50-54,T,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y50-54,T,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y50-54,T,SE	38 	48 	53 	60 	64 	70 	76 
NR,ED5,Y50-54,T,SI	377 	310 	328 	310 	283 	287 	274 
NR,ED5,Y50-54,T,SK	54 	64 	66 	61 	61 	70 	67 
NR,ED5,Y50-54,T,TR	1546 	1448 	1371 	1273 	: 	985 	956 
NR,ED5,Y50-54,T,UK	: d	: d	: d	: d	: d	3010 	2078 
NR,ED5,Y55-59,F,AT	949 	959 	929 	908 	894 	835 	739 
NR,ED5,Y55-59,F,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y55-59,F,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y55-59,F,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,F,CY	10 	5 	4 	7 	7 	8 	11 
NR,ED5,Y55-59,F,CZ	: d	: d	: d	11 	10 	7 	11 
NR,ED5,Y55-59,F,DE	112 be	3 e	2 e	2 	1 	1 	3 
NR,ED5,Y55-59,F,DK	121 	132 b	: d	: 	83 	80 	: 
NR,ED5,Y55-59,F,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,F,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,ES	2696 	2471 	2243 	2022 	1910 	1729 	1488 
NR,ED5,Y55-59,F,EU27_2020	: 	: 	: 	: 	4008 d	4319 d	: 
NR,ED5,Y55-59,F,EU28	: 	: 	: 	: 	: 	5696 d	: 
NR,ED5,Y55-59,F,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,FR	1395 	1285 	1296 	1307 	1174 	1207 	1271 
NR,ED5,Y55-59,F,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y55-59,F,HU	: d	: d	: d	40 	36 	83 	159 
NR,ED5,Y55-59,F,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y55-59,F,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y55-59,F,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,LU	5 	4 	4 	: d	2 	2 	: 
NR,ED5,Y55-59,F,LV	102 	94 	75 	82 	91 	97 	98 
NR,ED5,Y55-59,F,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y55-59,F,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,MT	7 	2 	5 	3 	8 	1 	6 
NR,ED5,Y55-59,F,NL	93 	70 	62 	53 	46 	: d	: d
NR,ED5,Y55-59,F,NO	40 	44 	43 	44 	45 	: d	: d
NR,ED5,Y55-59,F,PL	6 	6 	3 	8 	75 	114 	169 
NR,ED5,Y55-59,F,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y55-59,F,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,F,SE	15 	18 	22 	23 	26 	29 	33 
NR,ED5,Y55-59,F,SI	129 	105 	126 	118 	100 	90 	95 
NR,ED5,Y55-59,F,SK	40 	44 	47 	44 	45 	48 	38 
NR,ED5,Y55-59,F,TR	218 	200 	162 	149 	: 	129 	127 
NR,ED5,Y55-59,F,UK	: d	: d	: d	: d	: d	1377 	818 
NR,ED5,Y55-59,M,AT	853 	846 	863 	889 	886 	842 	791 
NR,ED5,Y55-59,M,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y55-59,M,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y55-59,M,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,M,CY	30 	20 	26 	25 	27 	17 	18 
NR,ED5,Y55-59,M,CZ	: d	: d	: d	6 	7 	6 	2 
NR,ED5,Y55-59,M,DE	253 be	3 e	3 e	3 	3 	4 	5 
NR,ED5,Y55-59,M,DK	204 	216 b	: d	: 	147 	146 	: 
NR,ED5,Y55-59,M,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,M,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,ES	2923 	2790 	2714 	2683 	2655 	2593 	2466 
NR,ED5,Y55-59,M,EU27_2020	: 	: 	: 	: 	5971 d	5215 d	: 
NR,ED5,Y55-59,M,EU28	: 	: 	: 	: 	: 	6481 d	: 
NR,ED5,Y55-59,M,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,FR	1454 	1464 	1495 	1473 	1421 	1452 	1537 
NR,ED5,Y55-59,M,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y55-59,M,HU	: d	: d	: d	65 	54 	94 	160 
NR,ED5,Y55-59,M,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y55-59,M,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y55-59,M,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,LU	5 	5 	5 	: d	3 	4 	: 
NR,ED5,Y55-59,M,LV	45 	40 	33 	34 	41 	29 	28 
NR,ED5,Y55-59,M,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y55-59,M,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,MT	24 	16 	15 	18 	26 	17 	29 
NR,ED5,Y55-59,M,NL	120 	116 	108 	95 	86 	: d	: d
NR,ED5,Y55-59,M,NO	78 	41 	41 	44 	45 	: d	: d
NR,ED5,Y55-59,M,PL	1 	2 	2 	5 	15 	32 	57 
NR,ED5,Y55-59,M,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y55-59,M,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,M,SE	18 	22 	26 	30 	33 	39 	44 
NR,ED5,Y55-59,M,SI	152 	138 	133 	118 	107 	102 	101 
NR,ED5,Y55-59,M,SK	24 	31 	32 	31 	30 	31 	26 
NR,ED5,Y55-59,M,TR	638 	572 	543 	501 	: 	481 	466 
NR,ED5,Y55-59,M,UK	: d	: d	: d	: d	: d	1266 	950 
NR,ED5,Y55-59,T,AT	1802 	1806 	1792 	1797 	1781 	1677 	1530 
NR,ED5,Y55-59,T,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y55-59,T,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y55-59,T,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,T,CY	40 	25 	30 	32 	34 	25 	29 
NR,ED5,Y55-59,T,CZ	: d	: d	: d	17 	17 	13 	13 
NR,ED5,Y55-59,T,DE	365 be	5 e	5 e	5 	4 	5 	8 
NR,ED5,Y55-59,T,DK	325 	348 b	: d	: 	230 	226 	: 
NR,ED5,Y55-59,T,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y55-59,T,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,ES	5619 	5261 	4957 	4705 	4565 	4322 	3954 
NR,ED5,Y55-59,T,EU27_2020	: 	: 	: 	: 	9979 d	9534 d	: 
NR,ED5,Y55-59,T,EU28	: 	: 	: 	: 	: 	12177 d	: 
NR,ED5,Y55-59,T,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,FR	2849 	2749 	2791 	2780 	2595 	2659 	2808 
NR,ED5,Y55-59,T,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y55-59,T,HU	: d	: d	: d	105 	90 	177 	319 
NR,ED5,Y55-59,T,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y55-59,T,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y55-59,T,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,LU	10 	9 	9 	: d	5 	6 	: 
NR,ED5,Y55-59,T,LV	147 	134 	108 	116 	132 	126 	126 
NR,ED5,Y55-59,T,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y55-59,T,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,MT	31 	18 	20 	21 	34 	18 	35 
NR,ED5,Y55-59,T,NL	213 	186 	170 	149 	133 	: d	: d
NR,ED5,Y55-59,T,NO	118 	85 	84 	88 	90 	: d	: d
NR,ED5,Y55-59,T,PL	7 	8 	5 	13 	90 	146 	226 
NR,ED5,Y55-59,T,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y55-59,T,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y55-59,T,SE	33 	40 	48 	54 	59 	68 	76 
NR,ED5,Y55-59,T,SI	281 	243 	259 	236 	207 	192 	196 
NR,ED5,Y55-59,T,SK	64 	75 	79 	75 	75 	79 	64 
NR,ED5,Y55-59,T,TR	856 	772 	705 	650 	: 	610 	593 
NR,ED5,Y55-59,T,UK	: d	: d	: d	: d	: d	2643 	1767 
NR,ED5,Y60-64,F,AT	543 	503 	446 	345 	221 	160 	135 
NR,ED5,Y60-64,F,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y60-64,F,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y60-64,F,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y60-64,F,CY	2 	3 	6 	6 	5 	3 	5 
NR,ED5,Y60-64,F,CZ	: d	: d	: d	4 	3 	4 	7 
NR,ED5,Y60-64,F,DE	112 be	2 e	1 e	1 	0 	0 	1 
NR,ED5,Y60-64,F,DK	75 	76 b	: d	: 	47 	46 	: 
NR,ED5,Y60-64,F,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y60-64,F,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,ES	852 	832 	779 	701 	630 	538 	421 
NR,ED5,Y60-64,F,EU27_2020	: 	: 	: 	: 	1535 d	1382 d	: 
NR,ED5,Y60-64,F,EU28	: 	: 	: 	: 	: 	2324 d	: 
NR,ED5,Y60-64,F,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,FR	706 	647 	676 	677 	592 	571 	563 
NR,ED5,Y60-64,F,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y60-64,F,HU	: d	: d	: d	35 	28 	58 	89 
NR,ED5,Y60-64,F,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y60-64,F,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y60-64,F,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,LU	1 	1 	1 	: d	0 	1 	: 
NR,ED5,Y60-64,F,LV	99 	101 	91 	74 	77 	58 	71 
NR,ED5,Y60-64,F,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y60-64,F,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,MT	4 	4 	2 	1 	3 	3 	2 
NR,ED5,Y60-64,F,NL	66 	48 	42 	38 	30 	: d	: d
NR,ED5,Y60-64,F,NO	35 	39 	39 	38 	38 	: d	: d
NR,ED5,Y60-64,F,PL	4 	2 	3 	4 	26 	46 	53 
NR,ED5,Y60-64,F,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y60-64,F,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,F,SE	13 	16 	19 	21 	24 	27 	30 
NR,ED5,Y60-64,F,SI	45 	45 	62 	69 	51 	44 	46 
NR,ED5,Y60-64,F,SK	21 	24 	25 	23 	24 	16 	12 
NR,ED5,Y60-64,F,TR	95 	75 	71 	61 	: 	55 	59 
NR,ED5,Y60-64,F,UK	: d	: d	: d	: d	: d	942 	452 
NR,ED5,Y60-64,M,AT	693 	693 	635 	552 	436 	363 	304 
NR,ED5,Y60-64,M,BA	: z	: 	: 	: 	: 	: 	: 
NR,ED5,Y60-64,M,BE	: d	: d	: d	: d	: d	: d	: d
NR,ED5,Y60-64,M,BG	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,CH	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y60-64,M,CY	22 	25 	22 	18 	12 	6 	11 
NR,ED5,Y60-64,M,CZ	: d	: d	: d	5 	6 	4 	2 
NR,ED5,Y60-64,M,DE	253 be	3 e	3 e	4 	3 	4 	5 
NR,ED5,Y60-64,M,DK	175 	170 b	: d	: 	114 	114 	: 
NR,ED5,Y60-64,M,EE	: z	: z	: z	: z	: z	: z	: 
NR,ED5,Y60-64,M,EL	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,ES	1075 	1079 	1085 	1033 	965 	838 	757 
NR,ED5,Y60-64,M,EU27_2020	: 	: 	: 	: 	2735 d	2267 d	: 
NR,ED5,Y60-64,M,EU28	: 	: 	: 	: 	: 	3432 d	: 
NR,ED5,Y60-64,M,FI	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,FR	860 	846 	870 	831 	795 	806 	845 
NR,ED5,Y60-64,M,HR	: d	: d	: d	: d	: d	: 	: d
NR,ED5,Y60-64,M,HU	: d	: d	: d	73 	66 	91 	152 
NR,ED5,Y60-64,M,IE	: d	: d	: 	: d	: d	: d	: d
NR,ED5,Y60-64,M,IT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,LI	0 	: z	: 	: z	: z	: z	: z
NR,ED5,Y60-64,M,LT	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,LU	1 	1 	1 	: d	1 	1 	: 
NR,ED5,Y60-64,M,LV	13 	22 	26 	39 	39 	30 	26 
NR,ED5,Y60-64,M,ME	: z	: z	: 	: 	: 	: 	: 
NR,ED5,Y60-64,M,MK	0 	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,MT	10 	12 	9 	8 	6 	7 	12 
NR,ED5,Y60-64,M,NL	118 	112 	103 	85 	75 	: d	: d
NR,ED5,Y60-64,M,NO	82 	43 	46 	49 	53 	: d	: d
NR,ED5,Y60-64,M,PL	1 	1 	0 	1 	15 	30 	50 
NR,ED5,Y60-64,M,PT	: d	: d	: d	: d	: d	: z	: z
NR,ED5,Y60-64,M,RO	: z	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,RS	: 	: z	: z	: z	: z	: z	: z
NR,ED5,Y60-64,M,SE	17 	22 	26 	29 	34 	39 	45 
NR,ED5,Y60-64,M,SI	128 	80 	78 	75 	78 	75 	70 
NR,ED5,Y60-64,M,SK	18 	23 	23 	22 	22 	17 	14 
NR,ED5,Y60-64,M,TR	380 	362 	354 	330 	: 	259 	257 
